name,description,speed,intfType,cdpPol,lldpPol,mcpPol,monPol,stormCtlPol,lacpPol,aep,interfaceProfile,fromPort,toPort,blkNum,interactions
HX_vSwitch,HX-04-1_mLOM-01,10G,access,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,NA,Infrastructure,SBOX-Leaf-201_intProf,5,5,block2,policyGrps
HX_vSwitch,HX-04-2_mLOM-01,10G,access,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,NA,Infrastructure,SBOX-Leaf-201_intProf,6,6,block3,interfaceProfiles
HX_vSwitch,HX-04-3_mLOM-01,10G,access,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,NA,Infrastructure,SBOX-Leaf-201_intProf,7,7,block4,
HX_vSwitch,HX-04-1_mLOM-02,10G,access,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,NA,Infrastructure,SBOX-Leaf-202_intProf,5,5,block2,
HX_vSwitch,HX-04-2_mLOM-02,10G,access,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,NA,Infrastructure,SBOX-Leaf-202_intProf,6,6,block3,
HX_vSwitch,HX-04-3_mLOM-02,10G,access,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,NA,Infrastructure,SBOX-Leaf-202_intProf,7,7,block4,
HX_vSwitch,HX-05-1_3_mLOM-01,25G,access,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,NA,Infrastructure,SBOX-Leaf-201_intProf,8,10,block5,
HX_vSwitch,HX-05-1_3_mLOM-02,25G,access,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,NA,Infrastructure,SBOX-Leaf-202_intProf,8,10,block5,
vpc_sandbox-01,sandbox-01_mLOM-03-04,25G,vpc,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,LACP_ACTIVE,Infrastructure,SBOX-Leaf-201-SBOX-Leaf-202_intProf,11,11,block2,
vpc_sandbox-02,sandbox-02_mLOM-03-04,25G,vpc,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,LACP_ACTIVE,Infrastructure,SBOX-Leaf-201-SBOX-Leaf-202_intProf,12,12,block2,
vpc_sandbox-03,sandbox-03_mLOM-03-04,25G,vpc,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,LACP_ACTIVE,Infrastructure,SBOX-Leaf-201-SBOX-Leaf-202_intProf,13,13,block2,
ESXi_vSwitch,ESXi-04-1_mLOM-01,10G,access,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,NA,Infrastructure,SBOX-Leaf-201_intProf,14,14,block2,
ESXi_vSwitch,ESXi-04-1_mLOM-02,10G,access,CDP_ON,LLDP_ON,MCP_ON,Nflow_Mon,bcast-mcast-storm,NA,Infrastructure,SBOX-Leaf-202_intProf,14,14,block2,
